NAMASTE_PRIMARY_CODE,NAMASTE_CODE,NAMASTE_TERM,NAMASTE_ENGLISH,TM2_CODE,TM2_TERM,TM2_URI,MAPPING_CLASS,MAPPING_STATUS,CONFIDENCE,SOURCE,VERSION,NAMASTE_TERM_DIACRITICAL,NAMASTE_TERM_DEVANAGARI,SHORT_DEFINITION,LONG_DEFINITION,ENGLISH_INDEX,PRIMARY_INDEX_RELATED,BIOMEDICAL_CODE,BIOMEDICAL_TERM,RELATIONSHIP
AAB-100,AAB-100(SP9Y),Saityam (kEvalavAta),Chills disorder only due to Kapha (TM2) ⇒,,Chills disorder only due to Kapha (TM2),http://id.who.int/icd/entity/1546224934,FOUNDATION_CONCEPT_ONLY,FOUNDATION_ONLY,0.8114617510604598,NAMASTE_OFFICIAL + WHO_API,NAMASTE_PROTOTYPE_V1,(a) śaityam,शैत्यम् (केवलवात),-,-,-,Index,,,
AAB-101,AAB-101,SyAvAruNAsyatA (kEvalavAta),dusky-red oral pigmentation (due only to vātadōṣa),,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,śyāvāruṇāsyatā (kēvalavāta),श्यावारुणास्यता (केवलवात),-,-,-,-,,,
AAB-102,AAB-102,SroNiBedaH (kEvalavAta),pelvic pain (due only to vātadōṣa),,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,śrōṇibhēdaḥ (kēvalavāta),श्रोणिभेदः (केवलवात),-,-,-,-,,,
AAB-103,AAB-103(SP9Y),sa~gkocaH (kEvalavAta),Contracture disorder (TM2) ⇒,,Contracture disorder (TM2),http://id.who.int/icd/entity/972171409,FOUNDATION_CONCEPT_ONLY,FOUNDATION_ONLY,0.1060700167324376,NAMASTE_OFFICIAL + WHO_API,NAMASTE_PROTOTYPE_V1,(a) saṅkocaḥ,सङ्कोचः (केवलवात),-,-,-,Index,,,
AAB-104,AAB-104,svedanASaH (kEvalavAta),anhidrosis/hypohidrosis (due only to vātadōṣa),,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,svēdanāśaḥ (kēvalavāta),स्वेदनाशः (केवलवात),-,-,-,-,,,
AAB-105,AAB-105(SP9Y),SramaH (kEvalavAta),Physical exhaustion disorder (TM2) ⇒,,Physical exhaustion disorder (TM2),http://id.who.int/icd/entity/1359928319,FOUNDATION_CONCEPT_ONLY,FOUNDATION_ONLY,0.7586474590476264,NAMASTE_OFFICIAL + WHO_API,NAMASTE_PROTOTYPE_V1,(a) śramaḥ,श्रमः (केवलवात),-,-,-,Index,,,
AAB-106,AAB-106,sarvA~ggarogaH/sarvA~ggavAtaH (kEvalavAta),total body paralysis/quadriplegia (due only to vātadōṣa),,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,sarvāṅgarōgaḥ/sarvāṅgavātaḥ (kēvalavāta),सर्वाङ्गरोगः/सर्वाङ्गवातः (केवलवात),-,-,-,-,,,
AAB-107,AAB-107(SK52),stamBaH (kEvalavAta),Stiffness disorder (TM2) ⇒,,Stiffness disorder (TM2),http://id.who.int/icd/entity/590686526,FOUNDATION_CONCEPT_ONLY,FOUNDATION_ONLY,0.2065161160900302,NAMASTE_OFFICIAL + WHO_API,NAMASTE_PROTOTYPE_V1,(a) stambhaḥ,स्तम्भः (केवलवात),-,-,Rigidity (TM2)                Spasticity (TM2),Index,,,
AAB-108,AAB-108(SP4Y),hanuBedaH (kEvalavAta),Jaw pain disorder (TM2) ⇒,,Jaw pain disorder (TM2),http://id.who.int/icd/entity/79586213,FOUNDATION_CONCEPT_ONLY,FOUNDATION_ONLY,0.6887166255384672,NAMASTE_OFFICIAL + WHO_API,NAMASTE_PROTOTYPE_V1,(a) hanubhedaḥ,हनुभेदः (केवलवात),-,-,-,Index,,,
AAB-109,AAB-109,hikkA (kEvalavAta),hiccup/singultus (due only to vātadōṣa),,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,hikkā (kēvalavāta),हिक्का (केवलवात),-,-,-,-,,,
AAB-11,AAB-11,akShivyudAsaH (kEvalavAta),ptosis of eye ball (due only to vātadōṣa),,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,akṣivyudāsaḥ (kēvalavāta),अक्षिव्युदासः (केवलवात),-,-,-,-,,,
AAB-12,AAB-12,akShiSUlaH (kEvalavAta),piercing type of eye pain (due only to vātadōṣa),,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,akṣiśūlaḥ (kēvalavāta),अक्षिशूलः (केवलवात),-,-,-,-,,,
AAB-13,AAB-13,ATopaH (kEvalavAta),borborygmus (due only to vātadōṣa),,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,āṭōpaḥ (kēvalavāta),आटोपः (केवलवात),-,-,-,-,,,
AAB-14,AAB-14,AkShepakaH (kEvalavAta),clonic convulsion (due only to vātadōṣa),,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,ākṣēpakaḥ (kēvalavāta),आक्षेपकः (केवलवात),-,-,-,-,,,
AAB-16,AAB-16,udarAveShTaH (kEvalavAta),feeling of abdomen as if enveloped by a cloth (due only to vātadōṣa),,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,udarāvēṣṭaḥ (kēvalavāta),उदरावेष्टः (केवलवात),-,-,-,-,,,
AAB-17,AAB-17,udAvartaH (kEvalavAta),obstipation (due only to vātadōṣa),,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,udāvartaḥ (kēvalavāta),उदावर्तः (केवलवात),-,-,-,-,,,
AAB-18,AAB-18,UrustamBaH/ADhyavAtaH (kEvalavAta),stiff thigh (due only to vātadōṣa),,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,ūrustambhaḥ/āḍhyavātaḥ (kēvalavāta),ऊरुस्तम्भः/आढ्यवातः (केवलवात),-,-,-,-,,,
AAB-19,AAB-19,UrusAdaH (kEvalavAta),thigh fatigue (due only to vātadōṣa),,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,ūrusādaḥ (kēvalavāta),ऊरुसादः (केवलवात),-,-,-,-,,,
AAB-20,AAB-20,ekA~ggarogaH (kEvalavAta),monoplegia (due only to vātadōṣa),,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,ēkāṅgarōgaḥ (kēvalavāta),एकाङ्गरोगः (केवलवात),-,-,-,-,,,
AAB-21,AAB-21,oShThaBedaH (kEvalavAta),cleft lip (due only to vātadōṣa),,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,ōṣṭhabhēdaḥ (kēvalavāta),ओष्ठभेदः (केवलवात),-,-,-,-,,,
AAB-23,AAB-23,karNaSUlaH (kEvalavAta),earache/otalgia (due only to vātadōṣa),,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,karṇaśūlaḥ (kēvalavāta),कर्णशूलः (केवलवात),-,-,-,-,,,
AAB-24,AAB-24,kampaH/vepathuH (kEvalavAta),tremor (due only to vātadōṣa),,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,kampaḥ/vēpathuḥ (kēvalavāta),कम्पः/वेपथुः (केवलवात),-,-,-,-,,,
AAB-25,AAB-25(SM1Y),kaShAyAsyatA (kEvalavAta),Feeling of astringent taste disorder (TM2) ⇒,,Feeling of astringent taste disorder (TM2),http://id.who.int/icd/entity/527540165,FOUNDATION_CONCEPT_ONLY,FOUNDATION_ONLY,0.728727946621807,NAMASTE_OFFICIAL + WHO_API,NAMASTE_PROTOTYPE_V1,(a) kaṣāyāsyatā,कषायास्यता (केवलवात),-,-,-,Index,,,
AAB-28,AAB-28,kubjatvam (kEvalavAta),kyphosis/captocormia (due only to vātadōṣa),,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,kubjatvam (kēvalavāta),कुब्जत्वम् (केवलवात),-,-,-,-,,,
AAB-3,AAB-3(SP9Y),a~ggamardaH (kEvalavAta),Generalized body ache disorder (TM2) ⇒,,Generalized body ache disorder (TM2),http://id.who.int/icd/entity/1729019198,FOUNDATION_CONCEPT_ONLY,FOUNDATION_ONLY,0.553188762464943,NAMASTE_OFFICIAL + WHO_API,NAMASTE_PROTOTYPE_V1,(a) aṅgamardaḥ,अङ्गमर्दः (केवलवात),-,-,-,Index,,,
AAB-31,AAB-31,kha~jjaH/kha~jjatvam (kEvalavAta),lameness (unilateral) (due only to vātadōṣa),,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,khañjaḥ/khañjatvam (kēvalavāta),खञ्जः/खञ्जत्वम् (केवलवात),-,-,-,-,,,
AAB-32,AAB-32,garBanASaH (kEvalavAta),foetal distress/foetal death (due only to vātadōṣa),,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,garbhanāśaḥ (kēvalavāta),गर्भनाशः (केवलवात),-,-,-,-,,,
AAB-34,AAB-34,gudaBraMSaH (kEvalavAta),rectal prolapse (due only to vātadōṣa),,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,gudabhraṁśaḥ (kēvalavāta),गुदभ्रंशः (केवलवात),-,-,-,-,,,
AAB-36,AAB-36(SP1Y),gulPa-grahaH (kEvalavAta),Stiff ankle disorder (TM2) ⇒,,Stiff ankle disorder (TM2),http://id.who.int/icd/entity/1212152603,FOUNDATION_CONCEPT_ONLY,FOUNDATION_ONLY,0.5720258771858459,NAMASTE_OFFICIAL + WHO_API,NAMASTE_PROTOTYPE_V1,(a) gulpha-grahaḥ,गुल्फ-ग्रहः (केवलवात),-,-,-,Index,,,
AAB-37,AAB-37,gRudhrasI (kEvalavAta),sciatia (due only to vātadōṣa),,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,gr̥dhrasī (kēvalavāta),गृध्रसी (केवलवात),-,"the disorder is characterized by kramāt sphik-kaṭi-pr̥ṣṭha-ūru-jānu-jaṅghā-padēṣu stambhaḥ [gradual stiffness in gluteal region- low back- upper back- thigh- knee- calf muscles- feet], spandatē muhuḥ [constant/frequent throbbing/twiching sensation], sakthi-nigr̥hṇana [supression/holding down of thighs], jānusaṁdhi-sphuraṇam [twitching sensation in knee], jānusaṁdhi-stabdhatā [stiffness in knee joint], kaṭisaṁdhi-sphuraṇam [twitching sensation in waist], kaṭisaṁdhi-stabdhatā [stiffness of lowback], ūrusaṁdhi-sphuraṇam [twitching sensation in thigh], ūrusaṁdhi-stabdhatā [stiffness in thigh], tōdaḥ [pricking pain], dēha-pravakratā [bending/flexion of the body]",-,-,,,
AAB-39,AAB-39(SP1Y),jAnuBedaH (kEvalavAta),Breaking pain of knees disorder (TM2) ⇒,,Breaking pain of knees disorder (TM2),http://id.who.int/icd/entity/1182010747,FOUNDATION_CONCEPT_ONLY,FOUNDATION_ONLY,0.7563459992491264,NAMASTE_OFFICIAL + WHO_API,NAMASTE_PROTOTYPE_V1,(a) jānubhedaḥ,जानुभेदः (केवलवात),-,-,-,Index,,,
AAB-4,AAB-4(SP9Y),a~ggaSuShkatA (kEvalavAta),Wasting of body part(s) disorder (TM2) ⇒,,Wasting of body part(s) disorder (TM2),http://id.who.int/icd/entity/815650264,FOUNDATION_CONCEPT_ONLY,FOUNDATION_ONLY,0.5872906878041558,NAMASTE_OFFICIAL + WHO_API,NAMASTE_PROTOTYPE_V1,(a) aṅgaśuṣkatā,अङ्गशुष्कता (केवलवात),-,-,-,Index,,,
AAB-40,AAB-40(SP1Y),jAnuviSleShaH (kEvalavAta),Lax knee disorder (TM2) ⇒,,Lax knee disorder (TM2),http://id.who.int/icd/entity/743727294,FOUNDATION_CONCEPT_ONLY,FOUNDATION_ONLY,0.6039117197437822,NAMASTE_OFFICIAL + WHO_API,NAMASTE_PROTOTYPE_V1,(a) jānuviśleṣaḥ,जानुविश्लेषः (केवलवात),-,-,-,Index,,,
AAB-42,AAB-42(SP98),tamaH (kEvalavAta),Fainting disorder due to Vata (TM2) ⇒,,Fainting disorder due to Vata (TM2),http://id.who.int/icd/entity/1110211610,FOUNDATION_CONCEPT_ONLY,FOUNDATION_ONLY,0.7912025316077479,NAMASTE_OFFICIAL + WHO_API,NAMASTE_PROTOTYPE_V1,(a) tamaḥ,तमः (केवलवात),-,-,-,Index,,,
AAB-43,AAB-43,timiraH (kEvalavAta),partial or total blindness/amaurosis/ametropia/partial obstruction of vision (due only to vātadōṣa),,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,timiraḥ (kēvalavāta),तिमिरः (केवलवात),-,-,-,-,,,
AAB-44,AAB-44(SN9Y),tvakSUnyatA (kEvalavAta),Hypoesthesia disorder (TM2) ⇒,,Hypoesthesia disorder (TM2),http://id.who.int/icd/entity/517896479,FOUNDATION_CONCEPT_ONLY,FOUNDATION_ONLY,0.7551681571612028,NAMASTE_OFFICIAL + WHO_API,NAMASTE_PROTOTYPE_V1,(a) prasuptiḥ                              (a) tvakśūnyatā,त्वक्शून्यता (केवलवात),-,-,-,Index,,,
AAB-45,AAB-45(SP9Y),todaH (kEvalavAta),Pricking pain disorder (TM2) ⇒,,Pricking pain disorder (TM2),http://id.who.int/icd/entity/1850213017,FOUNDATION_CONCEPT_ONLY,FOUNDATION_ONLY,0.6985493831203288,NAMASTE_OFFICIAL + WHO_API,NAMASTE_PROTOTYPE_V1,(a) todaḥ,तोदः (केवलवात),-,-,-,Index,,,
AAB-46,AAB-46(SK30),daNDakaH (kEvalavAta),Whole body stiffness with immobility disorder (TM2) ⇒,,Whole body stiffness with immobility disorder (TM2),http://id.who.int/icd/entity/785246141,FOUNDATION_CONCEPT_ONLY,FOUNDATION_ONLY,0.8318600704602113,NAMASTE_OFFICIAL + WHO_API,NAMASTE_PROTOTYPE_V1,(a) daṇḍakaḥ,दण्डकः (केवलवात),-,-,-,Index,,,
AAB-47,AAB-47,dantaBedaH (kEvalavAta),odontalgia/tooth fracture (due only to vātadōṣa),,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,dantabhēdaḥ (kēvalavāta),दन्तभेदः (केवलवात),-,-,-,-,,,
AAB-48,AAB-48(SM1Y),dantaSaithilyam (kEvalavAta),Loose tooth disorder (TM2) ⇒,,Loose tooth disorder (TM2),http://id.who.int/icd/entity/156093360,FOUNDATION_CONCEPT_ONLY,FOUNDATION_ONLY,0.714014824370303,NAMASTE_OFFICIAL + WHO_API,NAMASTE_PROTOTYPE_V1,(a) dantaśaithilyam,दन्तशैथिल्यम् (केवलवात),-,-,-,Index,,,
AAB-50,AAB-50(SN7Y),hrasvakeSaH (kEvalavAta),Short hair disorder (TM2) ⇒,,Short hair disorder (TM2),http://id.who.int/icd/entity/1768428679,FOUNDATION_CONCEPT_ONLY,FOUNDATION_ONLY,0.5490408427465034,NAMASTE_OFFICIAL + WHO_API,NAMASTE_PROTOTYPE_V1,(a) hrasvakeśaḥ,ह्रस्वकेशः (केवलवात),-,-,-,Index,,,
AAB-51,AAB-51,nirAmavAtaH,vitiation of vāta without association of āma (undigested material),,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,nirāmavātaḥ,निरामवातः,-,-,-,-,,,
AAB-52,AAB-52,pakShAghAtaH/pakShavadhaH (kEvalavAta),hemiplegia/hemiparesis (due only to vātadōṣa),,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,pakṣāghātaḥ/pakṣavadhaḥ (kēvalavāta),पक्षाघातः/पक्षवधः (केवलवात),-,-,-,-,,,
AAB-53,AAB-53(SK21),pA~ggulyam (kEvalavAta),lameness (bilateral) / lower limb paralysis (TM2),SK21,Paraplegia disorder (TM2),http://id.who.int/icd/release/11/2026-01/mms/1338037818,CROSS_CODE_MAPPING,TM2_MAPPED,0.7823250311848245,NAMASTE_OFFICIAL + WHO_API,NAMASTE_PROTOTYPE_V1,(a) pāṅgulyam,पाङ्गुल्यम् (केवलवात),-,-,-,Index,,,
AAB-54,AAB-54(SK5Y),pAdaBraMSaH (kEvalavAta),Foot drop disorder (TM2) ⇒,,Foot drop disorder (TM2),http://id.who.int/icd/entity/1203456521,FOUNDATION_CONCEPT_ONLY,FOUNDATION_ONLY,0.5949958096179432,NAMASTE_OFFICIAL + WHO_API,NAMASTE_PROTOTYPE_V1,(a) pādabhraṃśaḥ,पादभ्रंशः (केवलवात),-,-,-,Index,,,
AAB-55,AAB-55(SP4Y),pAdaSUlaH (kEvalavAta),Leg pain disorder (TM2) ⇒,,Leg pain disorder (TM2),http://id.who.int/icd/entity/27463349,FOUNDATION_CONCEPT_ONLY,FOUNDATION_ONLY,0.6752818015706689,NAMASTE_OFFICIAL + WHO_API,NAMASTE_PROTOTYPE_V1,(a) pādaśūlaḥ,पादशूलः (केवलवात),-,-,-,Index,,,
AAB-56,AAB-56(SP45),pAdasuptatA (kEvalavAta),Numbness of foot disorder (TM2) ⇒,,Numbness of foot disorder (TM2),http://id.who.int/icd/entity/103364224,FOUNDATION_CONCEPT_ONLY,FOUNDATION_ONLY,0.5920152838860329,NAMASTE_OFFICIAL + WHO_API,NAMASTE_PROTOTYPE_V1,(a) pādasuptatā,पादसुप्तता (केवलवात),-,-,-,Index,,,
AAB-58,AAB-58,pArSvAvamardaH (kEvalavAta),flank pain (due only to vātadōṣa),,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,pārśvāvamardaḥ (kēvalavāta),पार्श्वावमर्दः (केवलवात),-,-,-,-,,,
AAB-59,AAB-59(SP9Y),piNDikodveShTanam (kEvalavAta),Calf muscle cramp disorder (TM2) ⇒,,Calf muscle cramp disorder (TM2),http://id.who.int/icd/entity/1318597195,FOUNDATION_CONCEPT_ONLY,FOUNDATION_ONLY,0.8264254732215722,NAMASTE_OFFICIAL + WHO_API,NAMASTE_PROTOTYPE_V1,(a) piṇḍikodveṣṭanam,पिण्डिकोद्वेष्टनम् (केवलवात),-,-,-,Index,,,
AAB-6,AAB-6,arditaH (kEvalavAta),facial paralysis (due only to vātadōṣa),,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,arditaḥ (kēvalavāta),अर्दितः (केवलवात),-,-,-,-,,,
AAB-60,AAB-60,purIShAtigADhatvam (kEvalavAta),hard stool (due only to vātadōṣa),,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,purīṣātigāḍhatvam (kēvalavāta),पुरीषातिगाढत्वम् (केवलवात),-,-,-,-,,,
AAB-62,AAB-62,pralApakaH (kEvalavAta),delirium (due only to vātadōṣa),,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,pralāpakaḥ (kēvalavāta),प्रलापकः (केवलवात),-,-,-,-,,,
AAB-63,AAB-63,bAdhiryam (kEvalavAta),deafness (due only to vātadōṣa),,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,bādhiryam (kēvalavāta),बाधिर्यम् (केवलवात),-,-,-,-,,,
AAB-64,AAB-64(SP4Y),bAhuSoShaH (kEvalavAta),Atrophy of arm disorder (TM2) ⇒,,Atrophy of arm disorder (TM2),http://id.who.int/icd/entity/1061088207,FOUNDATION_CONCEPT_ONLY,FOUNDATION_ONLY,0.4912487983362696,NAMASTE_OFFICIAL + WHO_API,NAMASTE_PROTOTYPE_V1,(a) bāhuśoṣaḥ,बाहुशोषः (केवलवात),-,-,-,Index,,,
AAB-65,AAB-65(SP9Y),balahAniH (kEvalavAta),Weakness disorder (TM2) ⇒,,Weakness disorder (TM2),http://id.who.int/icd/entity/1690674677,FOUNDATION_CONCEPT_ONLY,FOUNDATION_ONLY,0.6234605617353756,NAMASTE_OFFICIAL + WHO_API,NAMASTE_PROTOTYPE_V1,(a) balahāniḥ,बलहानिः (केवलवात),-,-,-,Index,,,
AAB-66,AAB-66(SP9Y),BedaH (kEvalavAta),Splitting pain disorder (TM2) ⇒,,Splitting pain disorder (TM2),http://id.who.int/icd/entity/28328664,FOUNDATION_CONCEPT_ONLY,FOUNDATION_ONLY,0.68107387706319,NAMASTE_OFFICIAL + WHO_API,NAMASTE_PROTOTYPE_V1,(a) bhedaḥ,भेदः (केवलवात),-,-,-,Index,,,
AAB-67,AAB-67,BIrutA (kEvalavAta),cowardness (due only to vātadōṣa),,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,,भीरुता (केवलवात),-,-,-,-,,,
AAB-68,AAB-68(SM7Y),mala-apravRutiH (kEvalavAta),Retention of stool disorder (TM2) ⇒,,Retention of stool disorder (TM2),http://id.who.int/icd/entity/1024331807,FOUNDATION_CONCEPT_ONLY,FOUNDATION_ONLY,0.5564009568641766,NAMASTE_OFFICIAL + WHO_API,NAMASTE_PROTOTYPE_V1,(a) mala-apravṛtiḥ,मल-अप्रवृतिः (केवलवात),-,-,-,Index,,,
AAB-69,AAB-69,mUkatvam (kEvalavAta),dumbness/aphasia (due only to vātadōṣa),,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,mūkatvam (kēvalavāta),मूकत्वम् (केवलवात),-,-,-,-,,,
AAB-70,AAB-70,mohaH (kEvalavAta),unconsciousness (due only to vātadōṣa),,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,mōhaḥ (kēvalavāta),मोहः (केवलवात),-,-,-,-,,,
AAB-71,AAB-71,BramaH (kEvalavAta),giddiness (due only to vātadōṣa),,,,UNMAPPED,UNMAPPED,,NAMASTE_OFFICIAL,NAMASTE_PROTOTYPE_V1,bhramaḥ (kēvalavāta),भ्रमः (केवलवात),-,-,-,-,,,
AAB-72,AAB-72(SK5Y),BrUvyudAsaH (kEvalavAta),Twitching eyebrow disorder (TM2) ⇒,,Twitching eyebrow disorder (TM2),http://id.who.int/icd/entity/851538950,FOUNDATION_CONCEPT_ONLY,FOUNDATION_ONLY,0.8248764565916646,NAMASTE_OFFICIAL + WHO_API,NAMASTE_PROTOTYPE_V1,(a) bhrūvyudāsaḥ,भ्रूव्युदासः (केवलवात),-,-,-,Index,,,
